age,monthly_income,loan_amount,loan_tenure_months,existing_emis,credit_score,dependents,work_experience_years,emi_to_income_ratio,loan_to_income_ratio,employment_type,employer_type,loan_type,city_tier,residential_status,payment_history,marital_status,gender,eligible
59,60000,2526498,48,10000,756,3,17,1.0439,3.509,Self Employed,Private MNC,Vehicle Loan,Metro,Rented,Minor Delay,Single,Female,0
49,90000,1011795,120,10000,624,3,13,0.2048,0.9368,Retired,Startup,Vehicle Loan,Metro,Company Provided,Major Delay,Widowed,Male,1
35,25000,434533,120,5000,682,1,13,0.3448,1.4484,Student,NGO,Business Loan,Tier 3,Rented,Major Delay,Married,Male,0
63,25000,159525,240,10000,731,2,6,0.4266,0.5317,Freelancer,Not Applicable,Vehicle Loan,Metro,Parental,Major Delay,Married,Male,0
28,60000,1311668,12,2000,671,3,0,1.8551,1.8218,Freelancer,NGO,Home Loan,Tier 3,Owned,Major Delay,Single,Male,0
41,25000,2449009,60,35000,680,1,20,3.0327,8.1634,Salaried,Not Applicable,Vehicle Loan,Tier 1,Company Provided,Minor Delay,Married,Female,0
59,15000,1428656,36,10000,721,3,4,3.3123,7.937,Student,Startup,Business Loan,Tier 1,Owned,Clean,Single,Male,0
39,25000,1273979,120,0,562,2,9,0.4247,4.2466,Salaried,Not Applicable,Education Loan,Tier 3,Company Provided,Minor Delay,Divorced,Male,0
43,25000,334329,48,10000,658,1,11,0.6786,1.1144,Salaried,Public Sector,Business Loan,Metro,Owned,Serious Default,Single,Male,0
31,25000,396407,48,5000,763,4,5,0.5303,1.3214,Student,Private MNC,Education Loan,Tier 3,Parental,Serious Default,Married,Female,0
31,25000,2901168,12,35000,668,2,12,5.0,9.6706,Salaried,Government,Vehicle Loan,Tier 1,Owned,Minor Delay,Single,Male,0
44,25000,626395,12,10000,886,0,8,2.488,2.088,Self Employed,Government,Vehicle Loan,Tier 2,Parental,Minor Delay,Single,Male,0
56,8000,819153,24,0,707,1,6,4.2664,8.5328,Self Employed,Government,Education Loan,Tier 1,Company Provided,Serious Default,Single,Male,0
60,40000,1558346,24,2000,551,0,5,1.6733,3.2466,Retired,Private MNC,Business Loan,Tier 2,Owned,Clean,Married,Female,0
44,40000,853995,12,5000,735,1,3,1.9042,1.7792,Salaried,NGO,Personal Loan,Metro,Rented,Clean,Single,Male,0
23,40000,1693593,180,10000,615,4,0,0.4852,3.5283,Self Employed,Private MNC,Personal Loan,Metro,Company Provided,Clean,Widowed,Female,0
42,15000,327845,84,10000,727,1,22,0.9269,1.8214,Salaried,Not Applicable,Business Loan,Tier 1,Parental,Serious Default,Divorced,Male,0
22,25000,1298720,84,2000,654,3,15,0.6984,4.3291,Salaried,Private MNC,Vehicle Loan,Metro,Parental,Clean,Divorced,Male,0
44,40000,1015721,240,5000,660,0,8,0.2308,2.1161,Retired,Private Indian,Education Loan,Tier 2,Parental,Clean,Divorced,Male,1
64,40000,2886934,60,5000,782,0,15,1.3279,6.0144,Self Employed,NGO,Education Loan,Tier 2,Company Provided,Clean,Single,Female,0
50,40000,2642491,48,0,573,1,15,1.3763,5.5052,Salaried,Government,Business Loan,Tier 1,Company Provided,Clean,Single,Female,0
